x-coordinate,y-coordinate,date,time
273.44,406.25,2024-10-30,19:19:56.183712
268.75,387.50,2024-10-30,19:19:56.215635
265.62,372.92,2024-10-30,19:19:56.246655
262.50,358.33,2024-10-30,19:19:56.280405
262.50,347.92,2024-10-30,19:19:56.311699
260.94,339.58,2024-10-30,19:19:56.360313
259.38,337.50,2024-10-30,19:19:56.394434
257.81,337.50,2024-10-30,19:19:56.424871
256.25,343.75,2024-10-30,19:19:56.460410
254.69,345.83,2024-10-30,19:19:56.487439
251.56,350.00,2024-10-30,19:19:56.519456
251.56,350.00,2024-10-30,19:19:56.551749
250.00,352.08,2024-10-30,19:19:56.599995
242.19,350.00,2024-10-30,19:19:56.632070
242.19,347.92,2024-10-30,19:19:56.666127
242.19,347.92,2024-10-30,19:19:56.696055
248.44,352.08,2024-10-30,19:19:56.726754
248.44,352.08,2024-10-30,19:19:56.759090
242.19,350.00,2024-10-30,19:19:56.793357
240.62,352.08,2024-10-30,19:19:56.825741
240.62,352.08,2024-10-30,19:19:56.876054
240.62,354.17,2024-10-30,19:19:56.904128
240.62,356.25,2024-10-30,19:19:56.934690
234.38,358.33,2024-10-30,19:19:56.967898
228.12,370.83,2024-10-30,19:19:57.000566
235.94,404.17,2024-10-30,19:19:57.032223
248.44,450.00,2024-10-30,19:19:57.064071
268.75,497.92,2024-10-30,19:19:57.095340
268.75,497.92,2024-10-30,19:19:57.112161
314.06,618.75,2024-10-30,19:19:57.176626
346.88,656.25,2024-10-30,19:19:57.209584
435.94,654.17,2024-10-30,19:19:57.243903
485.94,695.83,2024-10-30,19:19:57.275295
517.19,725.00,2024-10-30,19:19:57.304329
539.06,733.33,2024-10-30,19:19:57.336266
554.69,725.00,2024-10-30,19:19:57.384174
554.69,725.00,2024-10-30,19:19:57.392184
489.06,735.42,2024-10-30,19:19:57.415281
504.69,743.75,2024-10-30,19:19:57.447387
532.81,758.33,2024-10-30,19:19:57.478438
554.69,770.83,2024-10-30,19:19:57.512187
712.50,745.83,2024-10-30,19:19:57.576812
746.88,760.42,2024-10-30,19:19:57.609730
746.88,760.42,2024-10-30,19:19:57.625357
773.44,768.75,2024-10-30,19:19:57.660174
790.62,768.75,2024-10-30,19:19:57.687656
800.00,756.25,2024-10-30,19:19:57.722217
803.12,737.50,2024-10-30,19:19:57.751282
390.62,839.58,2024-10-30,19:19:57.783860
373.44,802.08,2024-10-30,19:19:57.815474
350.00,756.25,2024-10-30,19:19:57.848128
481.25,683.33,2024-10-30,19:19:57.880060
479.69,650.00,2024-10-30,19:19:57.927101
456.25,612.50,2024-10-30,19:19:57.959146
456.25,527.08,2024-10-30,19:19:57.995073
415.62,491.67,2024-10-30,19:19:58.025599
371.88,452.08,2024-10-30,19:19:58.059158
298.44,418.75,2024-10-30,19:19:58.087453
242.19,385.42,2024-10-30,19:19:58.119962
207.81,339.58,2024-10-30,19:19:58.150316
340.62,233.33,2024-10-30,19:19:58.199403
392.19,214.58,2024-10-30,19:19:58.232220
671.88,106.25,2024-10-30,19:19:58.263267
209.38,385.42,2024-10-30,19:19:58.296412
292.19,429.17,2024-10-30,19:19:58.327511
359.38,454.17,2024-10-30,19:19:58.359022
404.69,462.50,2024-10-30,19:19:58.392154
470.31,485.42,2024-10-30,19:19:58.442129
489.06,527.08,2024-10-30,19:19:58.475725
481.25,560.42,2024-10-30,19:19:58.503206
457.81,585.42,2024-10-30,19:19:58.534746
450.00,614.58,2024-10-30,19:19:58.568574
445.31,641.67,2024-10-30,19:19:58.598889
453.12,660.42,2024-10-30,19:19:58.631923
473.44,683.33,2024-10-30,19:19:58.663381
